1,49,4.68,4.73,4.63,4.77,4.8,4.81,4.4
2,50,4.52,4.22,4.09,4.91,4.91,4.47,4.52
3,191,4.58,4.58,4.86,4.85,4.79,4.68,4.57
4,1,5,5,5,5,5,5,5
5,246,4.88,4.83,4.96,4.96,4.95,4.85,4.84
6,13,4.91,5,4.91,5,5,5,5
7,358,4.89,4.9,4.9,4.96,4.93,4.94,4.82
8,12,4.9,4.75,4.63,4.88,4.75,5,4.88
9,190,4.77,4.83,4.74,4.88,4.88,4.67,4.76
10,58,4.52,4.68,4.16,4.97,5,4.95,4.58
11,80,4.65,4.49,4.61,4.73,4.85,4.39,4.65
12,0,0,0,0,0,0,0,0
13,315,4.39,4.6,4.05,4.81,4.85,4.71,4.53
14,386,4.91,4.92,4.87,4.91,4.92,4.9,4.85
15,75,4.52,4.61,4.41,4.71,4.54,4.07,4.39
16,203,4.65,4.74,4.4,4.86,4.86,4.56,4.71
17,177,4.82,4.88,4.91,4.91,4.93,4.8,4.78
18,59,4.56,4.38,3.91,4.85,4.77,4.17,4.46
19,37,4.56,4.65,4.43,4.92,4.81,4.73,4.35
20,57,4.87,4.82,4.82,4.85,4.85,4.85,4.69
21,5,5,4.8,4.8,5,5,4.8,4.8
22,541,4.79,4.84,4.76,4.79,4.78,4.74,4.69
23,188,4.72,4.8,4.45,4.8,4.89,4.9,4.64
24,291,4.85,4.9,4.77,4.96,4.94,4.42,4.77
25,53,4.8,4.74,4.9,4.98,4.98,4.56,4.55
26,147,4.41,4.38,4.26,4.82,4.76,4.71,4.47
27,30,5,4.92,4.92,4.92,4.92,4.79,4.79
28,246,4.95,4.93,4.96,4.99,4.99,5,4.94
29,1,5,5,3,5,5,5,5
30,59,4.49,4.65,3.53,4.65,4.68,4.98,4.41
31,165,4.05,4.26,3.69,4.59,4.39,4.4,4.16
32,3,5,5,5,5,4.67,5,4.33
33,36,4.97,4.97,4.8,5,5,5,4.91
34,317,4.71,4.84,4.89,4.8,4.74,4.67,4.7
35,57,4.42,4.63,4.22,4.56,4.75,4.98,4.52
36,91,4.83,4.78,4.93,4.95,4.78,4.78,4.85
37,29,4.62,4.76,4.45,4.97,4.97,4.79,4.72
38,479,4.93,4.95,4.96,4.98,4.98,4.89,4.91
39,25,4.85,4.63,4.79,5,4.89,4.79,4.74
40,19,4.95,4.94,5,4.88,4.88,4.94,4.88
41,73,4.71,4.36,4.58,4.78,4.7,4.39,4.54
42,393,4.94,4.94,4.94,4.99,4.98,4.86,4.92
43,118,4.76,4.85,4.83,4.82,4.91,4.9,4.62
44,74,4.89,4.86,4.9,4.96,4.96,5,4.84
45,30,4.71,4.79,4.41,4.9,4.97,4.93,4.69
46,4,4.33,4,4,4.33,4.33,4.33,4.33
47,564,4.53,4.67,4.45,4.76,4.75,4.75,4.59
48,92,4.84,4.76,4.85,4.92,4.97,4.83,4.72
49,295,4.96,4.96,4.98,4.98,4.98,4.96,4.9
50,32,5,4.97,4.94,4.94,4.97,4.9,4.94
51,9,4.88,5,4.8,5,5,5,5
52,43,4.7,4.83,4.52,4.88,4.88,4.86,4.62
53,192,4.84,4.87,4.43,4.96,4.98,4.78,4.82
54,261,4.82,4.82,4.59,4.93,4.87,4.85,4.77
55,44,4.86,4.93,4.83,4.98,5,4.98,4.86
56,33,4.93,4.89,4.89,4.96,4.96,4.78,4.93
57,69,4.8,4.72,4.7,4.85,4.87,4.57,4.62
58,220,4.66,4.78,4.81,4.71,4.73,4.58,4.64
59,188,4.81,4.82,4.46,4.93,4.91,4.54,4.75
60,4,5,5,5,4.75,5,5,5
61,232,4.69,4.85,4.82,4.83,4.72,4.83,4.71
62,124,4.64,4.84,4.72,4.86,4.93,4.55,4.69
63,18,4.78,4.83,4.56,5,4.83,4.44,4.67
64,29,4.42,4.46,4.13,4.83,4.63,4.88,4.5
65,13,4.42,4.64,4.36,4.82,5,4.82,4.55
66,0,0,0,0,0,0,0,0
67,133,4.66,4.61,4.47,4.87,4.87,4.89,4.62
68,69,4.7,4.78,4.56,4.81,4.84,4.79,4.61
69,25,4.42,4.29,4.21,4.17,4.29,4.33,4.29
70,0,0,0,0,0,0,0,0
71,76,4.97,4.99,4.92,4.99,4.97,4.89,4.92
72,33,4.34,4.41,4.3,4.59,4.78,4.44,4.35
73,5,4,4.75,4.25,4.5,5,4.25,4.25
74,16,4.71,4.5,4.44,4.81,4.63,4.69,4.44
75,0,0,0,0,0,0,0,0
76,173,4.75,4.83,4.64,4.93,4.9,4.94,4.84
